time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-04T08:10:37.300Z,18.1072,-67.0824,24,1.8,Md,4,162,0.06737365,0.1,pr,pr15277006,2015-10-04T11:38:28.628Z,"2km N of Sabana Eneas, Puerto Rico",earthquake,0.8,1.1,0,3,reviewed,pr,pr
2015-10-04T08:23:28.500Z,18.753,-64.3168,36,2.3,Md,5,320.4,0.02694946,0.1,pr,pr15277008,2015-10-04T12:04:26.691Z,"48km NE of Road Town, British Virgin Islands",earthquake,2,0.8,0,4,reviewed,pr,pr
2015-10-04T09:06:41.190Z,-30.8202,-71.6631,35.62,4.1,mwr,,150,0.147,0.61,us,us10003k63,2016-01-04T22:29:04.040Z,"50km WSW of Ovalle, Chile",earthquake,5.6,4.6,0.052,36,reviewed,us,us
2015-10-04T09:25:41.600Z,18.7089,-64.5863,28,2.4,Md,5,205.2,0.2407485,0.09,pr,pr15277007,2015-10-04T11:56:20.702Z,"32km N of Road Town, British Virgin Islands",earthquake,1.1,2.2,0,4,reviewed,pr,pr
2015-10-04T10:11:56.000Z,-30.656,-71.627,29.9,5,mww,,,,0.87,us,us10003k6h,2016-02-19T01:56:43.000Z,"41km W of Ovalle, Chile",earthquake,4.2,3.3,,,reviewed,guc,us
2015-10-04T12:16:36.000Z,-30.446,-71.601,28.9,4,mb,,,,0.85,us,us10003k74,2016-01-04T22:29:05.040Z,"42km WNW of Ovalle, Chile",earthquake,7.4,5.9,0.368,2,reviewed,guc,us
2015-10-04T13:47:30.370Z,-23.8804,-66.6896,200.13,4.3,mb,,37,1.65,1.12,us,us10003k7c,2016-01-04T22:29:05.040Z,"53km NW of San Antonio de los Cobres, Argentina",earthquake,8.6,7.2,0.169,10,reviewed,us,us
2015-10-04T13:50:15.500Z,14.2157,-92.6932,33.76,4.3,mb,,134,0.803,1.16,us,us10003njl,2016-01-04T22:29:05.040Z,"62km WSW of Ocos, Guatemala",earthquake,5.9,6.3,0.073,54,reviewed,us,us
2015-10-04T14:50:34.390Z,-16.2684,-72.1052,92,5.3,mww,,119,2.684,0.83,us,us10003k7q,2016-02-19T01:56:44.000Z,"29km SSW of Lluta, Peru",earthquake,8.5,1.9,,,reviewed,us,us
2015-10-04T15:56:40.730Z,-3.7887,-79.9273,57.7,4.6,mb,,162,4.262,1.03,us,us10003njn,2016-01-04T22:29:06.040Z,"33km WSW of Pinas, Ecuador",earthquake,11.1,8.8,0.095,33,reviewed,us,us
2015-10-04T16:57:22.100Z,-30.5101,-72.1713,10,4.4,mwr,,110,0.49,0.54,us,us10003k82,2016-01-04T22:29:07.040Z,"93km W of Ovalle, Chile",earthquake,5.2,1.8,0.048,41,reviewed,us,us
2015-10-04T17:58:13.470Z,-30.7106,-71.4883,35,4.2,mb,,104,0.131,0.89,us,us10003k8e,2016-01-04T22:29:07.040Z,"30km WSW of Ovalle, Chile",earthquake,4,2,0.525,1,reviewed,us,us
2015-10-04T18:21:53.060Z,-30.2671,-71.7108,35,4.2,mb,,133,0.41,1.2,us,us10003k8l,2016-01-04T22:29:07.040Z,"49km SW of Coquimbo, Chile",earthquake,5.7,1.8,0.186,8,reviewed,us,us
2015-10-04T21:29:02.130Z,12.7868,-88.2071,67.59,4.4,mb,,133,1.132,0.45,us,us10003k9m,2016-01-04T22:29:08.040Z,"48km S of Chirilagua, El Salvador",earthquake,6.2,8.1,0.1,29,reviewed,us,us
2015-10-04T23:14:55.700Z,18.1608,-68.5008,211,3.8,Md,12,338.4,0.99533333,0.5,pr,pr15277009,2016-01-04T22:29:09.040Z,"26km SSE of Boca de Yuma, Dominican Republic",earthquake,7.3,2.3,0,7,reviewed,pr,pr
2015-10-05T01:48:00.900Z,18.1872,-67.6877,7,3,Md,12,295.2,0.27847774,0.28,pr,pr15278000,2016-01-04T22:29:10.040Z,"48km WSW of Stella, Puerto Rico",earthquake,1.7,1.7,0,12,reviewed,pr,pr
2015-10-05T02:02:51.370Z,-31.7828,-71.6072,34.92,3.9,mwr,,121,0.776,0.76,us,us10003kbc,2016-01-04T22:29:10.040Z,"45km WSW of Illapel, Chile",earthquake,5.6,4.5,0.066,22,reviewed,us,us
